"","MGI.symbol","HGNC.symbol","NCBI.gene..formerly.Entrezgene..ID","NCBI.gene..formerly.Entrezgene..description"
"425","Rhoa","RHOA",387,"ras homolog family member A"
"426","Myct1","MYCT1",80177,"MYC target 1"
"427","Sigirr","SIGIRR",59307,"single Ig and TIR domain containing"
"428","Kank3","KANK3",256949,"KN motif and ankyrin repeat domains 3"
"429","Lsr","LSR",51599,"lipolysis stimulated lipoprotein receptor"
"430","Plscr2","PLSCR1",5359,"phospholipid scramblase 1"
"431","Txnip","TXNIP",10628,"thioredoxin interacting protein"
"432","Capg","CAPG",822,"capping actin protein, gelsolin like"
"433","Hes1","HES1",3280,"hes family bHLH transcription factor 1"
"434","Fn1","FN1",2335,"fibronectin 1"
"435","Bsg","BSG",682,"basigin (Ok blood group)"
"436","Ocln","OCLN",100506658,"occludin"
"437","Cxcl12","CXCL12",6387,"C-X-C motif chemokine ligand 12"
"438","Kctd10","KCTD10",83892,"potassium channel tetramerization domain containing 10"
"439","Gbp3","GBP4",115361,"guanylate binding protein 4"
"440","Slc19a3","SLC19A3",80704,"solute carrier family 19 member 3"
"441","Slc16a1","SLC16A1",6566,"solute carrier family 16 member 1"
"442","Ece1","ECE1",1889,"endothelin converting enzyme 1"
"443","Tagln2","TAGLN2",8407,"transgelin 2"
"444","Adam15","ADAM15",8751,"ADAM metallopeptidase domain 15"
"445","Unc45b","UNC45B",146862,"unc-45 myosin chaperone B"
"446","Slc2a1","SLC2A1",6513,"solute carrier family 2 member 1"
"447","S1pr1","S1PR1",1901,"sphingosine-1-phosphate receptor 1"
"448","Adgrg1","ADGRG1",9289,"adhesion G protein-coupled receptor G1"
"449","Slc22a8","SLC22A8",9376,"solute carrier family 22 member 8"
"450","Ccdc141","CCDC141",285025,"coiled-coil domain containing 141"
"451","Tgfb2","TGFB2",7042,"transforming growth factor beta 2"
"452","Tpm3","TPM3",7170,"tropomyosin 3"
"453","Lima1","LIMA1",51474,"LIM domain and actin binding 1"
"454","Icam2","ICAM2",3384,"intercellular adhesion molecule 2"
"455","Ptprb","PTPRB",5787,"protein tyrosine phosphatase receptor type B"
"456","C130074G19Rik","C1orf115",79762,"chromosome 1 open reading frame 115"
"457","Slc3a2","SLC3A2",6520,"solute carrier family 3 member 2"
"458","Wwtr1","WWTR1",25937,"WW domain containing transcription regulator 1"
"459","Fas","FAS",355,"Fas cell surface death receptor"
